Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0,0.022453308,-0.138462067,9.824669495
0.1004935,0.008083191,-0.147593079,9.799372101
0.2009845,0.022453308,-0.138761444,9.745783539
0.3014745,0.028440857,-0.143551483,9.792935486
0.4019655,0.024249573,-0.148940277,9.816885681
0.5024565,0.007334747,-0.140108643,9.84861969
0.6029465,0.020657043,-0.140108643,9.819131012
0.7034375,0.009131012,-0.144599304,9.785151672
0.8039275,0.026494904,-0.140258331,9.85685257
0.9044185,0.023950195,-0.139809265,9.784552917
1.0049095,0.033829651,-0.137414246,9.841734009
1.105399417,0.023800507,-0.142952728,9.77257782
1.205890417,0.006885681,-0.125888214,9.781259766
1.306381417,0.013771362,-0.139509888,9.775421906
1.406871417,0.017064514,-0.146096191,9.795779572
1.507362417,0.015717316,-0.14160553,9.798923035
1.607853417,0.015118561,-0.141006775,9.788744202
1.708343417,0.018860779,-0.147293701,9.789193268
1.808834417,0.035027161,-0.144898682,9.796228638
1.909325417,0.016914825,-0.135917358,9.804760895
2.009815417,0.013172607,-0.143252106,9.807754669
2.110303875,0.010627899,-0.144299927,9.793234863
2.210794875,0.014370117,-0.145198059,9.816137238
2.311285875,0.021255798,-0.149988098,9.801467743
2.411776875,0.000149689,-0.141755219,9.793534241
2.512266875,0.023800507,-0.144898682,9.777816925
2.612757875,0.011376343,-0.141006775,9.75147171
2.713248875,0.03278183,-0.145497437,9.799970856
2.813739875,0.017663269,-0.135617981,9.785151672
2.914230875,0.026195526,-0.142653351,9.823172607
3.014721875,0.019459534,-0.143102417,9.814939728
3.115212417,0.020657043,-0.144000549,9.820627899
3.215703417,0.022153931,-0.147892456,9.828262024
3.316194417,0.016615448,-0.142353973,9.802365875
3.416685417,0.000449066,-0.149539032,9.798174591
3.517176417,0.022153931,-0.141904907,9.788744202
3.617667417,0.016166382,-0.151185608,9.783205719
3.718158417,0.025596771,-0.148042145,9.794582062
3.818649417,0.006137238,-0.15208374,9.79592926
3.919140417,0.027692413,-0.126936035,9.810299377
4.019631417,0.013921051,-0.147293701,9.808054047
4.120122292,0.012124786,-0.138761444,9.807754669
4.220613292,0.019010468,-0.142653351,9.823921051
4.321105292,0.015567627,-0.138013001,9.800569611
4.421596292,0.012424164,-0.153730316,9.780511322
4.522087292,0.010927277,-0.136067047,9.773925018
4.622578292,0.010627899,-0.134420471,9.799821167
4.723069292,0.021704865,-0.142503662,9.791588287
4.823560292,0.016765137,-0.135318604,9.803713074
4.924051292,0.023800507,-0.144000549,9.823621674
5.024543292,0.015567627,-0.143701172,9.80296463
5.125034875,0.013621674,-0.147742767,9.798473969
5.225525875,0.014968872,-0.140258331,9.805659027
5.326016875,0.01287323,-0.156125336,9.79128891
5.426507875,0.028440857,-0.135318604,9.788295135
5.526998875,0.005987549,-0.125439148,9.793534241
5.627490875,0.017214203,-0.138162689,9.79592926
5.727981875,0.021854553,-0.138611755,9.81
5.828472875,0.020207977,-0.131576386,9.808503113
5.928963875,0.016765137,-0.138761444,9.800270233
6.029455875,0.016465759,-0.149988098,9.803713074
6.12994575,0.016765137,-0.134869537,9.798623657
6.23043675,0.014669495,-0.145946503,9.791737976
6.33092775,0.013322296,-0.134719849,9.798623657
6.43141875,0.007783813,-0.138462067,9.798174591
6.53191075,0.015717316,-0.149838409,9.787696381
6.63240175,0.021255798,-0.152682495,9.802066498
6.73289275,0.015867004,-0.142503662,9.79952179
6.83338375,0.017812958,-0.145497437,9.79473175
6.93387575,0.019160156,-0.146395569,9.803862762
7.03436675,0.013771362,-0.144898682,9.797426147
7.134858125,0.013771362,-0.14280304,9.80296463
7.235350125,0.018860779,-0.14040802,9.806856537
7.335841125,0.018561401,-0.148042145,9.81
7.436332125,0.01287323,-0.135468292,9.795330505
7.536823125,0.01047821,-0.13337265,9.790390778
7.637315125,0.021555176,-0.140557709,9.814790039
7.737806125,0.027542725,-0.131726074,9.797725525
7.838298125,0.016914825,-0.14040802,9.793384552
7.938789125,0.012424164,-0.144150238,9.793085175
8.039280125,0.014370117,-0.144898682,9.797725525
8.139772125,0.018262024,-0.14624588,9.787546692
8.240263125,0.010029144,-0.134869537,9.78889389
8.340755125,0.021854553,-0.138013001,9.790690155
8.441246125,0.024848328,-0.147593079,9.796528015
8.541738125,0.016166382,-0.133222961,9.788594513
8.642229125,0.017812958,-0.129630432,9.789642334
8.742721125,0.024848328,-0.137863312,9.795330505
8.843213125,0.008083191,-0.142054596,9.797276459
8.943704125,0.022902374,-0.13921051,9.797725525
9.044196125,0.02694397,-0.142952728,9.801018677
9.144691125,0.019309845,-0.143401794,9.792636108
9.245183125,0.010927277,-0.134719849,9.792187042
9.345675125,0.024698639,-0.15328125,9.813592529
9.446167125,0.009280701,-0.145198059,9.793085175
9.546658125,0.011975098,-0.137563934,9.805509338
9.647150125,0.008532257,-0.139509888,9.792187042
9.747642125,0.017663269,-0.137563934,9.778116302
9.848134125,0.01407074,-0.138312378,9.782756653
9.948626125,0.023052063,-0.139958954,9.780361633
10.04911713,0.015717316,-0.135168915,9.791438599
10.14960917,0.024399261,-0.138761444,9.804311829
10.25010117,0.02110611,-0.139659576,9.802365875
10.35059317,0.014819183,-0.141156464,9.806706848
10.45108517,0.007185059,-0.139659576,9.807006226
10.55157717,0.010927277,-0.139659576,9.795180817
10.65206917,0.010328522,-0.142353973,9.796228638
10.75256117,0.016316071,-0.142952728,9.793683929
10.85305317,0.011076965,-0.140857086,9.786349182
10.95354517,0.016765137,-0.144150238,9.79952179
11.05403717,0.016316071,-0.144898682,9.80535965
11.15452475,0.018262024,-0.145796814,9.806257782
11.25501675,0.019010468,-0.155825958,9.810598755
11.35550875,0.015717316,-0.132025452,9.80416214
11.45600175,0.006586304,-0.14280304,9.795779572
11.55649375,0.021854553,-0.144299927,9.786349182
11.65698575,0.015567627,-0.143401794,9.786199493
11.75747775,0.000748444,-0.141455841,9.779762878
11.85796975,0.019309845,-0.144599304,9.783654785
11.95846175,0.020657043,-0.136815491,9.801916809
12.05895475,0.019609222,-0.151634674,9.791588287
12.15945117,0.026794281,-0.131576386,9.80760498
12.25994317,0.004939728,-0.136665802,9.812694397
12.36043517,0.032033386,-0.140108643,9.788594513
12.46092717,0.019758911,-0.140108643,9.815987549
12.56142017,0.013771362,-0.136965179,9.808054047
12.66191217,0.026045837,-0.141755219,9.803713074
12.76240417,0.017064514,-0.145946503,9.796228638
12.86289617,0.019160156,-0.139809265,9.787247314
12.96338917,0.012723541,-0.142653351,9.80535965
13.06388117,0.024698639,-0.146395569,9.808952179
13.16436917,0.011376343,-0.148042145,9.793085175
13.26486117,0.010627899,-0.141455841,9.781858521
13.36535417,0.024698639,-0.138013001,9.800569611
13.46584617,0.02454895,-0.131875763,9.795779572
13.56633817,0.020806732,-0.136965179,9.794432373
13.66683117,0.015567627,-0.137563934,9.813742218
13.76732317,0.019609222,-0.138162689,9.816885681
13.86781517,0.014968872,-0.135617981,9.801168365
13.96830817,0.020956421,-0.135468292,9.806557159
14.06880017,0.015567627,-0.146994324,9.803114319
14.1692925,0.019758911,-0.150736542,9.790241089
14.2697855,0.011975098,-0.138312378,9.801916809
14.3702775,0.022752686,-0.144599304,9.79832428
14.4707695,0.013621674,-0.140857086,9.796378326
14.5712625,0.013172607,-0.14280304,9.804611206
14.6717545,0.018561401,-0.150586853,9.798024902
14.7722475,0.022752686,-0.135468292,9.810748444
14.8727395,0.015567627,-0.139809265,9.785750427
14.9732315,0.010328522,-0.139958954,9.80296463
15.0737245,0.017064514,-0.147742767,9.797276459
15.17421567,0.01871109,-0.134270783,9.816885681
15.27470867,0.017962646,-0.144150238,9.805659027
15.37520067,0.012124786,-0.137563934,9.812844086
15.47569367,0.020806732,-0.140857086,9.802665253
15.57618567,0.025297394,-0.13576767,9.797875214
15.67667867,0.018860779,-0.155227203,9.802365875
15.77717067,0.011825409,-0.117505646,9.788444824
15.87766267,0.025297394,-0.142054596,9.801168365
15.97815567,0.011376343,-0.138761444,9.7900914
16.07864767,0.016465759,-0.136067047,9.79832428
16.17914192,0.016016693,-0.137863312,9.798773346
16.27963392,0.021255798,-0.145198059,9.810299377
16.38012692,0.01167572,-0.140857086,9.804012451
16.48061892,0.018860779,-0.137563934,9.79952179
16.58111192,0.019309845,-0.14624588,9.802216187
16.68160392,0.012274475,-0.138312378,9.794132996
16.78209692,0.025896149,-0.14280304,9.810149689
16.88258992,0.017663269,-0.135917358,9.813143463
16.98308192,0.017812958,-0.135917358,9.80535965
17.08357492,0.020357666,-0.129031677,9.805808716
17.18406592,0.02335144,-0.14280304,9.793534241
17.28455892,0.021704865,-0.138761444,9.804611206
17.38505092,0.02110611,-0.150586853,9.810449066
17.48554392,0.012723541,-0.141306152,9.792037354
17.58603592,0.022453308,-0.146096191,9.800419922
17.68652892,0.026195526,-0.130528565,9.80176712
17.78702192,0.011526031,-0.152532806,9.797276459
17.88751392,0.021255798,-0.146844635,9.805060272
17.98800692,0.009430389,-0.140258331,9.804611206
18.08849892,0.015118561,-0.138761444,9.809550934
18.18899242,0.017812958,-0.138162689,9.808203735
18.28948542,0.0199086,-0.138761444,9.795031128
18.38997742,0.015417938,-0.146844635,9.804311829
18.49047042,0.017812958,-0.13457016,9.812245331
18.59096242,0.011825409,-0.141904907,9.792037354
18.69145542,0.027093658,-0.135617981,9.802066498
18.79194842,0.011526031,-0.142653351,9.804012451
18.89244042,0.017663269,-0.141455841,9.803713074
18.99293342,0.020207977,-0.139360199,9.811047821
19.09342542,0.024998016,-0.14744339,9.806856537
19.193919,0.014220428,-0.149239655,9.804611206
19.294412,0.021704865,-0.143551483,9.794282684
19.394904,0.021255798,-0.132923584,9.810449066
19.495397,0.019160156,-0.141156464,9.810898132
19.59589,0.016615448,-0.139809265,9.796977081
19.696382,0.014519806,-0.139958954,9.808203735
19.796875,0.015567627,-0.139360199,9.798923035
19.897367,0.023501129,-0.145497437,9.813742218
19.99786,0.023052063,-0.147293701,9.809101868
20.098353,0.015567627,-0.138611755,9.803413696
20.19884412,0.017064514,-0.141306152,9.800719299
20.29933713,0.0199086,-0.153730316,9.802365875
20.39982913,0.023052063,-0.131277008,9.802814941
20.50032213,0.019309845,-0.140557709,9.794881439
20.60081512,0.019758911,-0.142653351,9.808353424
20.70130713,0.021704865,-0.140557709,9.80760498
20.80180013,0.018860779,-0.136216736,9.810449066
20.90229212,0.023950195,-0.150137787,9.809101868
21.00278513,0.010178833,-0.137863312,9.799821167
21.10327738,0.014819183,-0.142653351,9.80296463
21.20377038,0.021704865,-0.140857086,9.808503113
21.30426238,0.021405487,-0.134869537,9.804611206
21.40475537,0.023201752,-0.144599304,9.812544708
21.50524738,0.01287323,-0.130229187,9.814041595
21.60574038,0.016166382,-0.134270783,9.813742218
21.70623237,0.017962646,-0.144299927,9.80416214
21.80672538,0.014669495,-0.142503662,9.822274475
21.90721738,0.01871109,-0.145647125,9.801916809
22.00771038,0.020058289,-0.139958954,9.814490662
22.10820238,0.022004242,-0.140557709,9.81703537
22.20869538,0.016166382,-0.12992981,9.814790039
22.30918738,0.014519806,-0.142503662,9.81
22.40967938,0.012424164,-0.143701172,9.790690155
22.51017238,0.019609222,-0.133821716,9.803563385
22.61066438,0.019459534,-0.142503662,9.79592926
22.71115638,0.023650818,-0.141904907,9.802515564
22.81164938,0.01751358,-0.142503662,9.806407471
22.91214138,0.019758911,-0.147144013,9.804611206
23.01263438,0.01407074,-0.141156464,9.81
23.11312613,0.017214203,-0.139659576,9.808652802
23.21361813,0.011975098,-0.139360199,9.807754669
23.31411013,0.020806732,-0.149688721,9.803862762
23.41460313,0.012424164,-0.143102417,9.816436615
23.51509513,0.020806732,-0.133672028,9.808054047
23.61558713,0.012573853,-0.154628449,9.820777588
23.71608012,0.021555176,-0.154628449,9.810748444
23.81657213,0.003592529,-0.139809265,9.791438599
23.91706413,0.022153931,-0.132773895,9.811496887
24.01755613,0.011975098,-0.134270783,9.816137238
24.1180495,0.016016693,-0.142054596,9.810449066
24.2185415,0.01407074,-0.140857086,9.812245331
24.3190335,0.020357666,-0.149389343,9.81119751
24.4195255,0.01751358,-0.144299927,9.799821167
24.5200175,0.016465759,-0.146545258,9.797426147
24.6205105,0.014370117,-0.136516113,9.79832428
24.7210025,0.016465759,-0.139659576,9.798923035
24.8214945,0.017363892,-0.141904907,9.817334747
24.9219865,0.024698639,-0.133073273,9.796528015
25.0224785,0.018860779,-0.132624207,9.806108093
25.12297025,0.012424164,-0.141006775,9.810898132
25.22346225,0.018860779,-0.141306152,9.81119751
25.32395525,0.016465759,-0.147892456,9.807006226
25.42444725,0.019160156,-0.143551483,9.816286926
25.52493925,0.016316071,-0.144898682,9.794582062
25.62543125,0.00464035,-0.145946503,9.782008209
25.72592325,0.017812958,-0.153580627,9.805060272
25.82641525,0.024399261,-0.141904907,9.793534241
25.92690725,0.024698639,-0.137264557,9.812095642
26.02739925,0.018262024,-0.146395569,9.79712677
26.1278915,0.015717316,-0.151784363,9.795330505
26.2283835,0.011376343,-0.13576767,9.793384552
26.3288755,0.020657043,-0.143102417,9.814490662
26.4293675,0.020956421,-0.142503662,9.820178833
26.5298595,0.016166382,-0.15208374,9.81
26.6303515,0.019609222,-0.133821716,9.814340973
26.7308435,0.018262024,-0.138462067,9.811646576
26.8313355,0.011376343,-0.142054596,9.819280701
26.9318275,0.011526031,-0.152233429,9.789941711
27.0323195,0.019010468,-0.145946503,9.806108093
27.1328105,0.01167572,-0.135917358,9.793234863
27.2333025,0.020956421,-0.135318604,9.811347198
27.3337945,0.029039612,-0.137264557,9.812245331
27.4342865,0.016166382,-0.136067047,9.821975098
27.5347785,0.01287323,-0.141755219,9.806557159
27.6352705,0.01047821,-0.144449616,9.812694397
27.7357625,0.008981323,-0.143102417,9.807305603
27.8362545,0.027542725,-0.138611755,9.805958405
27.9367465,0.017812958,-0.142503662,9.811047821
28.0372385,0.016316071,-0.131426697,9.79473175
28.13773113,0.022303619,-0.13921051,9.799970856
28.23822313,0.026794281,-0.13576767,9.806108093
28.33871513,0.019309845,-0.14160553,9.80880249
28.43920713,0.012573853,-0.147293701,9.809550934
28.53969813,0.019609222,-0.146844635,9.808054047
28.64019013,0.007484436,-0.145347748,9.806257782
28.74068213,0.017962646,-0.148191834,9.810299377
28.84117413,0.016316071,-0.147742767,9.806557159
28.94166612,0.017064514,-0.13217514,9.807754669
29.04215813,0.020207977,-0.131576386,9.803713074
29.14264904,0.028889923,-0.143850861,9.808203735
29.24314104,0.01751358,-0.141156464,9.809401245
29.34363304,0.017812958,-0.14040802,9.80296463
29.44412504,0.016316071,-0.142054596,9.796977081
29.54461704,0.02110611,-0.130528565,9.808503113
29.64510804,0.024848328,-0.138761444,9.811496887
29.74560004,0.01407074,-0.145198059,9.820328522
29.84609204,0.017962646,-0.132624207,9.808353424
29.94658304,0.021405487,-0.140707398,9.785151672
30.04707504,0.028889923,-0.151634674,9.809251556
30.147567,0.015867004,-0.141156464,9.798923035
30.248059,0.019010468,-0.14040802,9.81
30.34855,0.017363892,-0.144898682,9.808203735
30.449042,0.010927277,-0.145198059,9.803713074
30.549533,0.018860779,-0.140707398,9.810598755
30.650025,0.023650818,-0.151035919,9.79952179
30.750517,0.017363892,-0.139060822,9.815688171
30.851008,0.017214203,-0.143850861,9.800569611
30.9515,0.013771362,-0.139509888,9.817185059
31.051991,0.026644592,-0.139360199,9.809850311
31.15248375,0.022453308,-0.138013001,9.812095642
31.25297575,0.022303619,-0.144299927,9.795779572
31.35346675,0.011975098,-0.145647125,9.798923035
31.45395875,0.019459534,-0.146994324,9.800120544
31.55444975,0.022902374,-0.141455841,9.807155914
31.65494175,0.013921051,-0.148341522,9.797575836
31.75543275,0.014968872,-0.13576767,9.811347198
31.85592475,0.016914825,-0.157322846,9.796677704
31.95641575,0.023950195,-0.145497437,9.797276459
32.05690775,0.020058289,-0.149089966,9.798473969
32.15739804,0.017363892,-0.145796814,9.808952179
32.25789004,0.012124786,-0.138611755,9.816137238
32.35838104,0.017812958,-0.146096191,9.805209961
32.45887304,0.013322296,-0.133672028,9.811047821
32.55936404,0.016166382,-0.144449616,9.805060272
32.65985604,0.016316071,-0.14040802,9.802066498
32.76034704,0.030985565,-0.140857086,9.803264008
32.86083804,0.011226654,-0.146844635,9.802814941
32.96133004,0.01751358,-0.150137787,9.805060272
33.06182104,0.023201752,-0.138911133,9.795031128
33.16231313,0.022902374,-0.14040802,9.799372101
33.26280412,0.01526825,-0.141006775,9.801467743
33.36329613,0.016615448,-0.141455841,9.806706848
33.46378713,0.025147705,-0.138911133,9.801018677
33.56427813,0.009879456,-0.133522339,9.798923035
33.66477013,0.014968872,-0.145198059,9.803264008
33.76526113,0.014370117,-0.145647125,9.807155914
33.86575313,0.014669495,-0.136665802,9.808353424
33.96624413,0.016914825,-0.142054596,9.807006226
34.06673513,0.016316071,-0.142503662,9.813592529
34.16723063,0.010627899,-0.143102417,9.815688171
34.26772163,0.01871109,-0.141006775,9.805060272
34.36821362,0.01871109,-0.14504837,9.807305603
34.46870463,0.013771362,-0.139809265,9.793983307
34.56919563,0.022453308,-0.139809265,9.808652802
34.66968763,0.025147705,-0.138761444,9.804012451
34.77017863,0.020058289,-0.13921051,9.807006226
34.87066963,0.011975098,-0.150137787,9.815987549
34.97116162,0.01871109,-0.136815491,9.812245331
35.07165263,0.012424164,-0.137863312,9.792935486
35.17214079,0.026345215,-0.148790588,9.807754669
35.27263279,0.015867004,-0.144299927,9.80880249
35.37312379,0.021255798,-0.140258331,9.822424164
35.47361479,0.014669495,-0.144150238,9.815239105
35.57410679,0.013471985,-0.139809265,9.817185059
35.67459779,0.017064514,-0.142503662,9.810449066
35.77508879,0.019309845,-0.143850861,9.81119751
35.87557979,0.019010468,-0.141156464,9.811796265
35.97607179,0.022453308,-0.143102417,9.799222412
36.07656279,0.017363892,-0.143701172,9.802066498
36.17705363,0.018411713,-0.137713623,9.798773346
36.27754563,0.020806732,-0.140857086,9.807155914
36.37803662,0.016914825,-0.138162689,9.803713074
36.47852763,0.023052063,-0.137713623,9.796528015
36.57901863,0.01047821,-0.14160553,9.79832428
36.67951063,0.016016693,-0.151335297,9.787696381
36.78000163,0.020657043,-0.141006775,9.815089417
36.88049263,0.026494904,-0.146844635,9.817933502
36.98098363,0.026345215,-0.144898682,9.820328522
37.08147463,0.016615448,-0.145347748,9.79712677
37.18196588,0.013172607,-0.135019226,9.804012451
37.28245688,0.016914825,-0.140857086,9.79592926
37.38294788,0.012124786,-0.151634674,9.802365875
37.48343888,0.019609222,-0.147293701,9.802066498
37.58392988,0.013022919,-0.147144013,9.822723541
37.68442188,0.01407074,-0.144599304,9.795330505
37.78491288,0.021854553,-0.144000549,9.804910583
37.88540387,0.020507355,-0.138013001,9.804461517
37.98589488,0.017812958,-0.151484985,9.80176712
38.08638588,0.01871109,-0.146096191,9.793833618
38.18688063,0.01287323,-0.142353973,9.788744202
38.28737263,0.018411713,-0.14280304,9.796677704
38.38786363,0.016615448,-0.140857086,9.808054047
38.48835463,0.009580078,-0.140258331,9.792187042
38.58884563,0.009430389,-0.143252106,9.811047821
38.68933663,0.016166382,-0.138611755,9.807305603
38.78982763,0.018112335,-0.149389343,9.818382568
38.89031963,0.016166382,-0.148491211,9.806407471
38.99081063,0.014370117,-0.137713623,9.792785797
39.09130163,0.017064514,-0.135019226,9.798174591
39.19178917,0.019758911,-0.137863312,9.792935486
39.29228017,0.010328522,-0.144599304,9.803713074
39.39277117,0.025447083,-0.140857086,9.819430389
39.49326217,0.019010468,-0.140258331,9.808203735
39.59375417,0.010927277,-0.138911133,9.809700623
39.69424517,0.022902374,-0.141306152,9.810598755
39.79473617,0.015417938,-0.140857086,9.806407471
